SongID,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hit
"(Girls, Girls, Girls) Made To LoveEddie Hodges",No Explicit Content,150666,16,0.61,0.377,A,-9.805,major,0.0935,0.414,0,0.0734,0.519,178.06,4,0
(He's My) DreamboatConnie Francis,No Explicit Content,162106,28,0.373,0.364,C,-6.563,major,0.0305,0.78,2.24E-6,0.342,0.451,70.31,4,0
(He's) Raining In My SunshineJay & The Americans,No Explicit Content,195733,10,0.478,0.298,D,-13.842,major,0.0342,0.74,0.0000111,0.139,0.376,110.006,4,0
(He's) The Great ImpostorThe Fleetwoods,No Explicit Content,132101,15,0.499,0.249,F,-11.793,major,0.0422,0.733,0,0.105,0.539,117.163,4,0
(Here They Come) From All Over The WorldJan & Dean,No Explicit Content,164600,15,0.461,0.68,C,-10.699,major,0.0446,0.621,7.74E-6,0.906,0.957,149.771,4,0
(Hey Won't You Play) Another Somebody Done Somebody Wrong SongB.J. Thomas,No Explicit Content,206066,40,0.637,0.528,E,-11.287,major,0.0328,0.744,0,0.114,0.702,124.806,4,1
(How To Be A) MillionaireABC,No Explicit Content,215733,29,0.718,0.755,D,-9.683,major,0.0534,0.281,0.0000118,0.0614,0.832,121.678,4,0
(I Can Feel Those Vibrations) This Love Is RealJackie Wilson,No Explicit Content,175146,26,0.63,0.8,D,-6.002,major,0.15,0.429,0,0.3,0.736,120.811,4,0
(I Can Feel Your Love) Slipping AwayBarbara Mason,No Explicit Content,199626,16,0.44,0.427,C,-5.455,major,0.0254,0.563,0,0.295,0.335,77.412,3,0
(I Can't Get No) SatisfactionThe Rolling Stones,No Explicit Content,222813,78,0.725,0.853,D,-7.842,major,0.0353,0.0348,0.127,0.196,0.904,136.282,4,1
(I Can't Help You) I'm Falling TooSkeeter Davis,No Explicit Content,165266,23,0.617,0.197,A,-12.145,major,0.0267,0.777,0,0.133,0.384,91.209,4,0
"(I Could Only) Whisper Your NameHarry Connick, Jr.",No Explicit Content,289970,34,0.682,0.572,F,-7.067,minor,0.045,0.191,0.204,0.0504,0.844,89.083,4,0
(I Cried at) Laura's WeddingBarbara Lynn,No Explicit Content,158213,2,0.579,0.299,G,-8.729,major,0.0304,0.84,0.0000471,0.117,0.194,89.463,3,0
(I Do The) Shimmy ShimmyBobby Freeman,No Explicit Content,157466,3,0.508,0.857,D,-5.498,major,0.04,0.74,0,0.365,0.891,88.579,4,0
(I Don't Care) Only Love MeSteve Lawrence,No Explicit Content,153600,13,0.56,0.516,F,-12.275,minor,0.183,0.468,0.000107,0.173,0.825,141.812,4,0
(I Hate) Everything About YouThree Days Grace,No Explicit Content,231480,74,0.498,0.83,F#,-5.157,minor,0.0421,0.00461,0,0.139,0.453,89.342,4,0
(I Just) Died In Your ArmsCutting Crew,No Explicit Content,278626,70,0.632,0.727,B,-11.209,minor,0.0438,0.0119,0.0000764,0.0678,0.499,124.919,4,1
(I Know I Got) SkillzShaquille O'Neal,No Explicit Content,263053,33,0.801,0.875,G,-9.705,major,0.0995,0.00366,0.425,0.182,0.637,91.983,4,0
(I Know) I'm Losing YouRare Earth,No Explicit Content,215986,32,0.38,0.532,F#,-14.477,major,0.0434,0.537,0.0000462,0.321,0.79,99.865,4,0
(I Know) I'm Losing YouThe Temptations,No Explicit Content,149493,44,0.634,0.503,F,-11.89,major,0.0282,0.5,0,0.0465,0.813,109.57,4,0
(I Never Promised You A) Rose GardenMartina McBride,No Explicit Content,195573,30,0.577,0.728,D,-6.944,major,0.0478,0.503,0,0.133,0.78,131.908,4,0
(I Remember) Summer MorningVanity Fare,No Explicit Content,178418,3,0.528,0.341,E,-12.768,minor,0.03,0.922,0,0.135,0.337,111.336,4,0
(I Wanna) Dance With The TeacherThe Olympics,No Explicit Content,107317,1,0.567,0.458,E,-15.353,major,0.0623,0.428,0.0412,0.356,0.829,85.189,4,0
(I Wanna) Love My Life AwayGene Pitney,No Explicit Content,114906,26,0.548,0.694,C,-9.356,major,0.0359,0.811,0.0000538,0.596,0.924,136.36,4,0
(I Wanna) TestifyThe Parliaments,No Explicit Content,183693,16,0.668,0.702,Bb,-5.75,major,0.033,0.336,0,0.0521,0.754,105.227,4,0
(I was) Born To CryDion,No Explicit Content,147560,28,0.396,0.568,G,-11.25,minor,0.0639,0.322,0,0.181,0.607,119.676,4,0
(I'll Be With You In) Apple Blossom TimeTab Hunter,No Explicit Content,130759,8,0.585,0.45,G#/Ab,-9.468,major,0.0357,0.856,4.92E-6,0.0777,0.627,130.16,4,0
(I'm A) Road RunnerJr. Walker & The All Stars,No Explicit Content,165946,48,0.755,0.695,F,-6.56,major,0.0281,0.0533,0,0.295,0.851,125.256,4,0
(I'm Just A) Fool For YouGene Chandler,No Explicit Content,160853,8,0.564,0.623,D,-9.553,major,0.0319,0.288,0.0000131,0.0947,0.911,110.613,4,0
(I'm Not Your) Steppin' StoneThe Monkees,No Explicit Content,146533,45,0.537,0.677,F,-4.437,major,0.0301,0.0151,0.000199,0.0981,0.324,131.477,4,0
(I'm So) Afraid Of Losing You AgainCharley Pride,No Explicit Content,173320,30,0.525,0.354,E,-12.332,major,0.0344,0.466,0.0000386,0.246,0.495,109.498,4,0
(I've Got) BonnieBobby Rydell,No Explicit Content,147000,10,0.329,0.398,D,-7.385,major,0.0286,0.77,0,0.242,0.698,75.194,4,0
(I've Got) Spring FeverLittle Willie John,No Explicit Content,131533,2,0.699,0.373,C,-12.653,major,0.0813,0.801,0.518,0.0764,0.73,134.923,4,0
